id,listing_url,name,picture_url,host_name,host_response_rate,host_is_superhost,host_has_profile_pic,host_thumbnail_url,host_picture_url,neighbourhood,property_type,bedrooms,bathrooms,price,weekly_price,monthly_price,availability_365,longitude,latitude,number_of_reviews,review_scores_rating,reviews_per_month
958,https://www.airbnb.com/rooms/958,"Bright, Modern Garden Unit - 1BR/1B",https://a0.muscache.com/im/pictures/51332160/0fa5e18c_original.jpg?aki_policy=large,Holly,92%,t,t,https://a0.muscache.com/im/pictures/efdad96a-3efc-4bc2-bdc9-f69740a5a818.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/efdad96a-3efc-4bc2-bdc9-f69740a5a818.jpg?aki_policy=profile_x_medium,Duboce Triangle,Apartment,1,1,170.00,1120.00,4200.00,122,-122.4338563,37.76931038,152,97,1.38
5858,https://www.airbnb.com/rooms/5858,Creative Sanctuary,https://a0.muscache.com/im/pictures/17714/3a7aea10_original.jpg?aki_policy=large,Philip And Tania,100%,f,t,https://a0.muscache.com/im/users/8904/profile_pic/1283840786/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8904/profile_pic/1283840786/original.jpg?aki_policy=profile_x_medium,Bernal Heights,Apartment,2,1,235.00,1600.00,5500.00,365,-122.4210179,37.74511233,112,98,0.99
7918,https://www.airbnb.com/rooms/7918,A Friendly Room - UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/26356/8030652f_original.jpg?aki_policy=large,Aaron,100%,f,t,https://a0.muscache.com/im/users/21994/profile_pic/1428380894/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21994/profile_pic/1428380894/original.jpg?aki_policy=profile_x_medium,Cole Valley,Apartment,1,4,65.00,485.00,1685.00,365,-122.4525046,37.7666896,17,85,0.16
8142,https://www.airbnb.com/rooms/8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,https://a0.muscache.com/im/pictures/27832/3b1f9e5e_original.jpg?aki_policy=large,Aaron,100%,f,t,https://a0.muscache.com/im/users/21994/profile_pic/1428380894/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21994/profile_pic/1428380894/original.jpg?aki_policy=profile_x_medium,Cole Valley,Apartment,1,4,65.00,490.00,1685.00,328,-122.451828,37.76487219,7,91,0.15
8339,https://www.airbnb.com/rooms/8339,Historic Alamo Square Victorian,https://a0.muscache.com/im/pictures/6f84a7c2-e350-48b5-9200-8964ec80bb4b.jpg?aki_policy=large,Rosy,100%,f,t,https://a0.muscache.com/im/users/24215/profile_pic/1314905289/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/24215/profile_pic/1314905289/original.jpg?aki_policy=profile_x_medium,Alamo Square,House,2,1.5,675.00,,,78,-122.4363737,37.77524859,26,97,0.24
8567,https://www.airbnb.com/rooms/8567,Lovely 2BR flat Great Location,https://a0.muscache.com/im/pictures/e2f3507c-dd08-4f5f-bd8c-93e749013c2b.jpg?aki_policy=large,Sandy,80%,f,t,https://a0.muscache.com/im/pictures/user/e20db090-e549-436e-ba36-ed1b652eae0f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e20db090-e549-436e-ba36-ed1b652eae0f.jpg?aki_policy=profile_x_medium,Western Addition/NOPA,Apartment,2,1,255.00,,,12,-122.4455543,37.78470745,30,90,0.27
8739,https://www.airbnb.com/rooms/8739,"Mission Sunshine, with Private Bath",https://a0.muscache.com/im/pictures/80811/7a57d0e7_original.jpg?aki_policy=large,Ivan & Wendy,100%,t,t,https://a0.muscache.com/im/users/7149/profile_pic/1259098370/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7149/profile_pic/1259098370/original.jpg?aki_policy=profile_x_medium,Mission District,Condominium,1,1,139.00,,9999.00,130,-122.4223669,37.7591889,594,98,5.41
9225,https://www.airbnb.com/rooms/9225,Artful Potrero Separate Floor with Garden,https://a0.muscache.com/im/pictures/80742/6401eac2_original.jpg?aki_policy=large,Gae,100%,f,t,https://a0.muscache.com/im/users/29674/profile_pic/1314134196/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29674/profile_pic/1314134196/original.jpg?aki_policy=profile_x_medium,Potrero Hill,House,1,1,135.00,1000.00,4000.00,313,-122.4054306,37.76258885,411,93,3.84
10251,https://www.airbnb.com/rooms/10251,Victorian Suite in Inner Mission,https://a0.muscache.com/im/pictures/30649314/ed09487a_original.jpg?aki_policy=large,Roman & Sarah,100%,t,t,https://a0.muscache.com/im/users/35199/profile_pic/1286322568/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/35199/profile_pic/1286322568/original.jpg?aki_policy=profile_x_medium,Mission District,Apartment,2,1,265.00,1540.00,5400.00,268,-122.413272,37.75874295,291,95,2.69
10578,https://www.airbnb.com/rooms/10578,Classic Nob Hill Studio - Roof Deck,https://a0.muscache.com/im/pictures/2249128/7f7ce9db_original.jpg?aki_policy=large,Andrew,100%,f,t,https://a0.muscache.com/im/users/37049/profile_pic/1286547340/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/37049/profile_pic/1286547340/original.jpg?aki_policy=profile_x_medium,,Apartment,0,1,120.00,1150.00,2875.00,309,-122.4154357,37.79142746,18,99,0.22
